;lemmas;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
339;point;6;8;6;5;12;17;11;6;8;18;13;110;5;4.56;10.0;18
340;disparity;10;6;3;11;7;19;6;7;23;15;2;109;2;6.63;9.91;23
341;concept;12;5;8;4;19;8;16;7;16;9;5;109;4;5.11;9.91;19
342;scientific;16;3;3;5;12;13;13;7;16;11;10;109;3;4.76;9.91;16
343;incentive;7;13;13;5;11;27;7;6;14;5;1;109;1;6.99;9.91;27
344;supply;7;12;9;8;13;10;13;7;13;10;6;108;6;2.64;9.82;13
345;situation;12;5;6;15;14;12;9;7;11;9;8;108;5;3.25;9.82;15
346;understand;14;4;5;3;11;6;10;7;21;15;11;107;3;5.46;9.73;21
347;solution;10;4;15;5;7;8;8;8;14;17;11;107;4;4.15;9.73;17
348;harm;8;8;6;3;14;6;7;12;22;14;7;107;3;5.35;9.73;22
349;complication;2;7;7;13;12;9;12;13;12;12;7;106;2;3.53;9.64;13
350;cohort;1;4;3;4;9;10;8;20;19;16;12;106;1;6.53;9.64;20
351;relative;4;12;14;2;5;3;19;9;21;10;7;106;2;6.36;9.64;21
352;technique;11;9;3;14;10;7;9;11;14;15;3;106;3;4.08;9.64;15
353;common;6;3;6;5;16;9;11;13;13;7;17;106;3;4.67;9.64;17
354;period;2;3;10;1;13;4;18;9;19;16;9;104;1;6.47;9.45;19
355;large;4;5;9;3;9;10;11;11;15;12;15;104;3;4.06;9.45;15
356;unit;5;8;3;5;14;3;18;11;10;15;11;103;3;5.05;9.36;18
357;consequence;2;8;22;5;16;6;5;10;7;9;13;103;2;5.73;9.36;22
358;respondent;7;3;4;8;11;14;2;2;29;17;6;103;2;8.15;9.36;29
359;10;4;13;6;4;5;9;12;10;18;13;9;103;4;4.43;9.36;18
360;demand;8;8;10;6;12;9;9;8;15;15;3;103;3;3.59;9.36;15
361;organization;10;7;6;8;5;7;10;7;17;12;13;102;5;3.58;9.27;17
362;effective;4;3;9;4;7;9;15;10;19;14;7;101;3;5.06;9.18;19
363;range;7;14;16;4;6;9;8;4;13;12;8;101;4;4.05;9.18;16
364;uterine;0;5;0;14;4;3;29;12;18;13;3;101;0;8.98;9.18;29
365;advance;14;4;5;9;8;5;14;6;13;15;8;101;4;4.12;9.18;15
366;rejection;11;3;5;6;13;8;6;9;16;18;6;101;3;4.79;9.18;18
367;relevant;10;3;5;10;6;11;14;8;14;15;5;101;3;4.12;9.18;15
368;opinion;9;8;14;12;8;8;7;3;15;8;9;101;3;3.37;9.18;15
369;dilemma;7;3;9;10;12;4;12;3;16;14;10;100;3;4.41;9.09;16
370;second;4;2;6;8;16;4;5;11;16;18;10;100;2;5.56;9.09;18
371;american;9;3;8;8;9;10;4;7;21;12;9;100;3;4.7;9.09;21
372;questionnaire;14;8;6;5;8;6;10;11;17;6;8;99;5;3.74;9.0;17
373;multiple;14;7;4;7;6;6;4;8;8;31;4;99;4;7.82;9.0;31
374;wish;3;6;7;7;3;0;7;15;7;33;11;99;0;8.91;9.0;33
375;currently;5;9;6;7;6;5;7;17;16;16;5;99;5;4.86;9.0;17
376;injury;7;2;2;0;5;5;1;13;5;27;32;99;0;10.79;9.0;32
377;religious;11;6;6;5;17;7;7;6;14;12;8;99;5;3.92;9.0;17
378;affect;12;1;8;8;7;7;11;14;16;7;8;99;1;4.07;9.0;16
379;service;3;1;5;3;7;4;4;11;14;30;17;99;1;8.6;9.0;30
380;ci;6;5;0;3;9;6;8;0;40;12;9;98;0;10.97;8.91;40
381;prospective;1;2;7;2;3;14;11;18;17;12;11;98;1;6.24;8.91;18
382;promote;9;5;8;4;10;7;15;5;20;11;4;98;4;4.99;8.91;20
383;stem;20;22;6;4;5;8;8;4;13;4;3;97;3;6.66;8.82;22
384;prior;5;4;7;11;6;4;6;8;22;18;6;97;4;5.93;8.82;22
385;registry;9;8;7;3;4;9;11;5;16;19;6;97;3;4.94;8.82;19
386;successful;5;9;2;9;7;4;11;14;11;17;7;96;2;4.41;8.73;17
387;assist;1;7;4;7;5;7;12;10;18;16;9;96;1;5.06;8.73;18
388;approve;7;7;3;4;8;10;6;16;12;12;11;96;3;3.88;8.73;16
389;area;6;1;8;11;9;7;15;6;10;10;13;96;1;3.8;8.73;15
390;education;2;4;8;8;12;6;9;5;18;10;13;95;2;4.54;8.64;18
391;likely;8;5;6;6;5;11;9;12;10;8;15;95;5;3.17;8.64;15
392;alternative;5;13;6;3;2;8;9;7;22;13;7;95;2;5.64;8.64;22
393;apol1;0;0;0;0;0;7;8;15;17;35;12;94;0;10.92;8.55;35
394;requirement;6;7;8;6;4;5;10;10;10;24;4;94;4;5.61;8.55;24
395;highlight;5;6;6;6;9;5;13;13;13;13;5;94;5;3.7;8.55;13
396;conclude;6;6;5;7;7;14;9;12;13;10;5;94;5;3.27;8.55;14
397;young;9;5;4;1;6;5;16;4;23;19;2;94;1;7.39;8.55;23
398;publish;6;5;7;9;3;8;12;11;11;16;5;93;3;3.8;8.45;16
399;estimate;6;3;2;9;7;4;10;10;13;18;11;93;2;4.72;8.45;18
400;participate;7;4;8;8;3;6;9;10;11;16;11;93;3;3.62;8.45;16
401;making;8;1;5;8;7;11;12;3;8;17;13;93;1;4.61;8.45;17
402;direct;7;8;4;5;8;6;3;10;22;15;5;93;3;5.57;8.45;22
403;uk;7;3;8;12;10;7;10;5;12;15;4;93;3;3.72;8.45;15
404;author;13;5;13;9;4;7;12;6;12;9;2;92;2;3.85;8.36;13
405;ethics;4;2;7;5;4;6;5;17;11;14;17;92;2;5.45;8.36;17
406;severe;3;3;4;1;12;7;7;14;15;14;12;92;1;5.18;8.36;15
407;believe;3;9;5;8;14;8;2;6;22;11;4;92;2;5.75;8.36;22
408;key;8;3;11;5;5;6;11;6;12;18;7;92;3;4.3;8.36;18
409;success;5;2;21;6;6;5;10;8;21;6;2;92;2;6.65;8.36;21
410;opt;10;3;7;5;3;4;16;8;11;22;2;91;2;6.2;8.27;22
411;registration;0;1;8;4;1;8;13;14;13;18;11;91;0;6.1;8.27;18
412;setting;4;4;4;8;8;9;6;11;19;11;7;91;4;4.38;8.27;19
413;demonstrate;9;3;6;8;4;7;11;12;16;9;6;91;3;3.74;8.27;16
414;chronic;6;2;4;5;7;10;6;9;13;21;8;91;2;5.18;8.27;21
415;occur;9;6;7;8;10;3;12;8;9;11;7;90;3;2.48;8.18;12
416;acute;5;3;7;7;14;10;4;12;12;5;11;90;3;3.76;8.18;14
417;goal;6;4;3;10;9;6;8;16;12;12;4;90;3;4.07;8.18;16
418;infection;1;4;14;5;7;8;6;9;5;16;14;89;1;4.74;8.09;16
419;material;4;6;12;8;9;7;10;4;7;19;3;89;3;4.53;8.09;19
420;accord;8;6;6;1;8;7;15;4;12;10;12;89;1;3.99;8.09;15
421;main;13;3;4;6;6;8;8;4;15;16;6;89;3;4.55;8.09;16
422;local;4;7;7;8;7;9;12;8;13;9;4;88;4;2.79;8.0;13
423;overall;5;3;3;5;5;10;14;3;19;12;9;88;3;5.29;8.0;19
424;adherence;1;1;8;3;4;0;3;21;30;13;4;88;0;9.6;8.0;30
425;definition;14;6;2;4;11;6;6;1;19;12;7;88;1;5.44;8.0;19
426;lt;0;8;0;7;0;16;6;22;20;5;3;87;0;7.97;7.91;22
427;6;3;6;5;6;3;9;4;16;8;18;9;87;3;4.99;7.91;18
428;regulation;7;10;12;3;7;6;12;10;3;6;11;87;3;3.3;7.91;12
429;expand;5;5;7;6;8;5;12;8;12;15;4;87;4;3.59;7.91;15
430;justice;11;2;8;9;10;4;6;6;12;11;7;86;2;3.16;7.82;12
431;achieve;9;2;8;10;12;3;5;7;15;12;3;86;2;4.26;7.82;15
432;create;3;8;9;5;12;8;6;10;16;4;5;86;3;3.84;7.82;16
433;pay;5;5;6;8;6;11;20;3;6;14;2;86;2;5.29;7.82;20
434;allotransplantation;10;7;7;3;3;2;3;9;23;14;4;85;2;6.28;7.73;23
435;testing;0;0;4;1;0;7;4;9;16;35;9;85;0;10.34;7.73;35
436;necessary;11;7;8;6;6;4;8;8;15;5;7;85;4;3.04;7.73;15
437;appropriate;9;5;11;5;6;2;11;3;15;12;6;85;2;4.13;7.73;15
438;characteristic;6;3;1;12;5;4;6;11;18;13;6;85;1;5.1;7.73;18
439;opportunity;2;4;12;5;4;7;7;8;11;12;13;85;2;3.8;7.73;13
440;c;5;3;3;4;1;7;2;3;10;38;9;85;1;10.44;7.73;38
441;12;5;10;2;3;7;7;7;12;12;14;5;84;2;3.91;7.64;14
442;qualitative;2;1;2;8;4;6;9;7;17;19;9;84;1;5.87;7.64;19
443;nurse;6;2;16;5;11;6;5;1;7;18;7;84;1;5.33;7.64;18
444;limited;7;3;12;2;9;9;10;6;8;12;6;84;2;3.26;7.64;12
445;regulatory;3;5;3;5;8;4;17;7;10;9;13;84;3;4.41;7.64;17
446;approval;6;8;4;3;5;11;5;8;14;13;7;84;3;3.64;7.64;14
447;activity;2;11;4;5;2;3;13;9;16;9;9;83;2;4.7;7.55;16
448;cultural;5;13;8;7;8;6;10;1;9;12;4;83;1;3.5;7.55;13
449;understanding;9;5;4;3;9;7;7;9;12;12;6;83;3;2.98;7.55;12
450;centre;11;3;4;1;7;7;10;12;5;15;8;83;1;4.2;7.55;15
451;consensus;6;1;8;10;5;4;10;7;9;19;4;83;1;4.72;7.55;19
452;effort;4;2;9;10;8;7;7;4;10;13;8;82;2;3.17;7.45;13
453;composite;8;6;0;2;2;0;5;7;23;24;5;82;0;8.37;7.45;24
454;trafficking;4;1;10;9;12;8;26;3;6;3;0;82;0;7.24;7.45;26
455;bioethic;10;5;10;7;5;12;2;9;13;5;4;82;2;3.56;7.45;13
456;single;2;7;4;1;4;2;4;14;16;16;12;82;1;5.89;7.45;16
457;loss;6;3;6;5;5;1;11;13;16;11;5;82;1;4.61;7.45;16
458;b;4;8;2;5;4;6;5;5;10;7;25;81;2;6.23;7.36;25
459;conflict;10;1;7;4;15;9;10;5;6;11;3;81;1;4.08;7.36;15
460;possibility;5;8;2;4;3;3;9;11;20;10;6;81;2;5.18;7.36;20
461;university;3;3;4;5;7;3;6;7;14;10;19;81;3;5.12;7.36;19
462;similar;6;1;8;3;9;7;6;6;14;11;10;81;1;3.64;7.36;14
463;functional;3;5;7;10;12;6;15;8;6;6;3;81;3;3.7;7.36;15
464;acceptable;11;4;4;9;8;9;9;4;10;8;5;81;4;2.62;7.36;11
465;implementation;8;0;3;3;5;7;9;6;12;19;9;81;0;5.12;7.36;19
466;potentially;4;7;3;3;7;3;12;5;17;16;4;81;3;5.24;7.36;17
467;seek;8;2;4;4;5;6;5;13;13;14;6;80;2;4.17;7.27;14
468;additional;4;2;4;5;10;4;6;9;13;13;10;80;2;3.88;7.27;13
469;open;2;9;2;4;13;5;4;9;6;10;16;80;2;4.54;7.27;16
470;altruistic;6;9;5;7;9;8;4;7;18;6;1;80;1;4.24;7.27;18
471;facilitate;4;8;1;4;3;6;16;7;11;15;5;80;1;4.86;7.27;16
472;systematic;2;4;3;6;5;13;6;13;12;10;5;79;2;4.07;7.18;13
473;tourism;23;5;9;14;2;4;6;7;6;2;1;79;1;6.4;7.18;23
474;maintain;3;3;4;9;5;9;12;5;14;10;5;79;3;3.79;7.18;14
475;equity;4;7;12;8;4;6;2;7;12;8;9;79;2;3.16;7.18;12
476;set;5;7;7;6;5;6;13;4;10;11;5;79;4;2.89;7.18;13
477;select;6;1;9;5;6;5;10;7;17;6;7;79;1;4.0;7.18;17
478;genetic;3;4;4;0;1;9;7;6;13;24;8;79;0;6.71;7.18;24
479;proposal;9;13;8;6;4;8;4;8;6;8;5;79;4;2.6;7.18;13
480;device;1;11;5;1;1;7;8;9;20;11;4;78;1;5.72;7.09;20
481;student;10;2;5;9;8;10;1;1;14;7;11;78;1;4.35;7.09;14
482;perfusion;7;1;4;2;10;1;5;9;9;12;18;78;1;5.22;7.09;18
483;prisoner;7;9;4;12;8;13;7;9;1;5;3;78;1;3.67;7.09;13
484;account;7;3;6;6;4;5;5;13;16;9;4;78;3;4.06;7.09;16
485;medium;4;0;10;3;4;1;13;14;10;6;13;78;0;5.09;7.09;14
486;poor;4;2;13;10;7;3;4;9;14;7;5;78;2;4.01;7.09;14
487;register;2;7;10;8;12;5;5;7;9;9;4;78;2;2.91;7.09;12
488;application;9;1;3;7;11;5;14;4;10;10;3;77;1;4.1;7.0;14
489;position;11;4;6;6;3;3;6;2;16;14;6;77;2;4.65;7.0;16
490;implement;8;2;9;3;4;3;5;10;11;17;5;77;2;4.52;7.0;17
491;collect;2;3;6;5;3;5;5;19;11;12;5;76;2;5.09;6.91;19
492;vs;1;4;0;3;12;4;2;6;13;8;23;76;0;6.8;6.91;23
493;come;8;9;4;8;7;5;9;2;6;9;9;76;2;2.39;6.91;9
494;recently;11;8;2;3;5;8;4;6;14;12;3;76;2;4.04;6.91;14
495;immunosuppression;6;5;13;6;5;1;8;7;8;12;5;76;1;3.36;6.91;13
496;effectiveness;2;1;14;1;8;4;8;7;9;18;3;75;1;5.46;6.82;18
497;short;2;4;5;2;10;9;8;11;10;10;4;75;2;3.46;6.82;11
498;agree;3;2;12;1;11;0;6;10;15;9;6;75;0;4.96;6.82;15
499;emerge;7;7;11;8;7;3;5;3;7;9;7;74;3;2.37;6.73;11
500;responsibility;7;4;12;3;2;4;14;7;8;12;1;74;1;4.41;6.73;14
501;versus;1;3;14;5;11;3;1;6;14;3;13;74;1;5.24;6.73;14
502;apply;4;2;1;6;5;2;12;5;16;10;11;74;1;4.84;6.73;16
503;grow;11;5;6;3;10;5;11;5;9;5;4;74;3;2.94;6.73;11
504;ratio;2;6;2;2;5;4;6;13;15;10;9;74;2;4.5;6.73;15
505;importance;5;5;9;5;4;6;9;5;10;10;6;74;4;2.28;6.73;10
506;availability;3;3;4;2;3;9;6;12;10;11;10;73;2;3.8;6.64;12
507;therapeutic;11;5;3;4;4;5;8;7;11;10;5;73;3;2.94;6.64;11
508;recovery;3;3;5;3;3;8;5;7;8;17;11;73;3;4.34;6.64;17
509;guide;5;3;5;5;1;9;1;14;10;13;7;73;1;4.43;6.64;14
510;prevent;1;2;13;6;5;12;8;3;4;14;5;73;1;4.52;6.64;14
511;attempt;6;4;4;8;4;4;14;9;8;7;4;72;4;3.14;6.55;14
512;parent;7;4;3;5;3;12;5;2;10;19;2;72;2;5.24;6.55;19
513;drug;11;2;1;5;12;6;8;4;14;7;2;72;1;4.34;6.55;14
514;2015;0;0;0;0;2;6;12;21;11;19;1;72;0;7.98;6.55;21
515;addition;2;3;2;5;7;7;8;6;13;10;9;72;2;3.45;6.55;13
516;investigate;7;4;2;3;4;7;8;7;11;12;7;72;2;3.14;6.55;12
517;especially;5;4;4;8;5;3;9;5;10;13;6;72;3;3.08;6.55;13
518;statement;7;4;0;16;4;6;9;3;5;15;3;72;0;5.01;6.55;16
519;30;3;3;3;4;4;10;3;4;11;18;9;72;3;4.89;6.55;18
520;15;4;3;3;5;8;7;7;9;9;8;9;72;3;2.38;6.55;9
521;allocate;7;8;2;11;2;5;10;1;13;5;8;72;1;3.93;6.55;13
522;practical;12;6;7;1;7;7;8;6;10;3;4;71;1;3.08;6.45;12
523;respectively;8;7;4;8;2;4;12;8;10;4;4;71;2;3.08;6.45;12
524;match;8;5;5;1;7;5;2;9;17;9;3;71;1;4.41;6.45;17
525;represent;3;4;7;10;6;4;7;7;10;9;4;71;3;2.5;6.45;10
526;hepatitis;0;3;0;3;5;9;4;7;14;26;0;71;0;7.76;6.45;26
527;gap;3;6;0;8;4;7;6;13;6;15;2;70;0;4.46;6.36;15
528;pre;0;2;0;9;8;3;3;11;11;15;8;70;0;5.03;6.36;15
529;step;2;2;2;8;7;8;10;6;8;10;7;70;2;3.04;6.36;10
530;chain;3;7;10;5;1;3;19;6;6;8;2;70;1;4.99;6.36;19
531;utx;0;3;0;6;5;0;6;5;30;13;2;70;0;8.71;6.36;30
532;request;1;5;7;2;1;11;11;14;4;10;3;69;1;4.58;6.27;14
533;esrd;3;0;1;3;0;7;3;11;16;20;5;69;0;6.68;6.27;20
534;pool;8;13;6;3;1;5;5;3;10;9;6;69;1;3.5;6.27;13
535;particular;5;5;10;6;4;8;8;7;6;7;3;69;3;2.0;6.27;10
536;declaration;3;1;10;12;5;6;5;4;11;2;9;68;1;3.76;6.18;12
537;surround;7;4;4;10;16;2;9;4;8;2;2;68;2;4.35;6.18;16
538;perception;7;1;11;7;1;7;5;3;12;4;10;68;1;3.79;6.18;12
539;novel;5;5;3;3;4;4;9;5;14;6;10;68;3;3.43;6.18;14
540;summary;4;3;7;5;10;3;3;7;7;9;10;68;3;2.75;6.18;10
541;islamic;5;2;7;9;6;0;1;11;13;1;13;68;0;4.85;6.18;13
542;unique;0;4;3;6;2;5;8;9;13;7;11;68;0;3.92;6.18;13
543;retrospective;3;2;5;0;6;4;4;8;18;12;6;68;0;5.04;6.18;18
544;limitation;1;1;14;5;6;4;3;7;12;12;3;68;1;4.58;6.18;14
545;training;9;1;10;2;0;2;6;6;17;8;7;68;0;4.94;6.18;17
546;journal;0;0;5;14;2;7;4;6;6;17;7;68;0;5.29;6.18;17
547;negative;4;1;4;7;9;5;4;3;9;15;7;68;1;3.84;6.18;15
548;worldwide;6;4;10;6;2;5;9;1;11;9;5;68;1;3.25;6.18;11
549;vital;9;9;2;6;3;6;2;4;13;6;8;68;2;3.4;6.18;13
550;acceptance;7;7;3;5;6;1;7;8;17;6;1;68;1;4.33;6.18;17
551;postoperative;1;1;10;2;7;20;5;3;2;7;9;67;1;5.61;6.09;20
552;balance;5;5;9;7;7;4;5;4;7;7;7;67;4;1.58;6.09;9
553;phase;1;18;0;5;2;5;5;5;9;9;8;67;0;4.97;6.09;18
554;campaign;2;1;11;1;1;1;16;3;23;8;0;67;0;7.61;6.09;23
555;european;5;4;9;3;2;5;14;5;4;8;7;66;2;3.38;6.0;14
556;psychological;2;6;5;12;9;2;7;10;6;3;4;66;2;3.29;6.0;12
557;bioethical;7;2;11;1;5;1;3;10;10;10;6;66;1;3.87;6.0;11
558;technology;9;4;6;7;3;3;9;11;6;7;1;66;1;3.03;6.0;11
559;sample;12;3;3;4;5;2;9;8;9;3;8;66;2;3.32;6.0;12
560;publication;0;0;6;12;3;3;9;5;7;8;12;65;0;4.21;5.91;12
561;event;1;3;3;1;3;13;5;3;10;12;11;65;1;4.61;5.91;13
562;science;6;6;1;6;4;8;6;3;17;3;5;65;1;4.16;5.91;17
563;stakeholder;3;0;2;4;1;3;14;4;6;23;5;65;0;6.76;5.91;23
564;clinician;0;5;3;5;4;8;2;5;5;23;5;65;0;6.02;5.91;23
565;listing;7;1;0;2;15;4;2;2;2;20;10;65;0;6.5;5.91;20
566;justify;6;5;2;2;6;7;5;4;16;5;7;65;2;3.75;5.91;16
567;18;5;5;4;2;0;8;8;7;11;6;8;64;0;3.09;5.82;11
568;enhance;2;3;2;3;4;5;6;11;14;9;5;64;2;3.92;5.82;14
569;protect;17;5;2;4;13;3;5;5;3;4;3;64;2;4.73;5.82;17
570;legislation;9;3;8;10;4;5;4;7;4;7;3;64;3;2.48;5.82;10
571;document;3;10;5;7;6;9;5;5;3;6;5;64;3;2.18;5.82;10
572;finally;5;5;6;5;4;6;9;2;4;13;5;64;2;2.93;5.82;13
573;vary;3;1;4;9;1;7;13;5;4;10;7;64;1;3.79;5.82;13
574;removal;3;1;1;4;9;3;15;4;9;11;4;64;1;4.51;5.82;15
575;introduce;5;4;7;5;6;6;4;3;10;11;3;64;3;2.64;5.82;11
576;fail;5;8;5;3;5;7;6;7;7;10;1;64;1;2.44;5.82;10
577;contribute;8;2;3;3;5;6;7;9;6;10;4;63;2;2.61;5.73;10
578;secondary;1;7;1;2;3;8;4;6;8;9;14;63;1;4.0;5.73;14
579;region;11;2;1;1;4;12;4;10;6;6;6;63;1;3.88;5.73;12
580;claim;3;1;4;3;8;12;6;2;12;10;2;63;1;4.13;5.73;12
581;majority;9;3;5;4;5;3;5;7;9;8;5;63;3;2.2;5.73;9
582;medication;1;0;0;2;5;2;1;7;25;11;9;63;0;7.42;5.73;25
583;hcv;0;0;0;0;0;0;2;3;27;16;14;62;0;9.19;5.64;27
584;staff;2;1;7;6;1;2;16;9;12;2;4;62;1;4.97;5.64;16
585;awareness;5;2;9;4;4;4;8;6;10;6;4;62;2;2.46;5.64;10
586;willingness;10;1;4;5;5;3;0;4;22;7;1;62;0;6.14;5.64;22
587;burden;0;0;1;1;4;11;2;9;10;16;8;62;0;5.43;5.64;16
588;sharing;2;1;2;3;8;8;8;11;3;8;8;62;1;3.44;5.64;11
589;programme;2;0;5;6;9;2;12;3;4;17;2;62;0;5.12;5.64;17
590;improvement;1;8;11;3;7;3;7;4;11;6;1;62;1;3.56;5.64;11
591;gift;12;1;6;4;4;7;5;2;5;15;1;62;1;4.39;5.64;15
592;share;3;1;2;1;3;18;10;2;3;14;5;62;1;5.77;5.64;18
593;cessation;8;0;2;1;5;9;11;9;8;2;6;61;0;3.78;5.55;11
594;regard;10;0;2;5;8;4;11;3;6;9;3;61;0;3.56;5.55;11
595;randomise;0;2;0;0;3;9;2;12;2;16;15;61;0;6.23;5.55;16
596;posttransplant;2;4;0;3;13;6;3;7;5;6;12;61;0;3.98;5.55;13
597;diagnosis;3;3;5;4;1;4;8;4;3;19;7;61;1;4.87;5.55;19
598;index;2;8;5;4;2;3;10;1;8;14;4;61;1;4.01;5.55;14
599;highly;2;0;1;3;4;6;12;6;15;7;5;61;0;4.55;5.55;15
600;express;3;4;2;5;7;3;4;8;8;12;5;61;2;2.94;5.55;12
601;personal;9;1;5;3;4;10;2;1;13;8;5;61;1;3.96;5.55;13
602;advocate;2;1;5;1;8;9;6;3;13;10;3;61;1;4.01;5.55;13
603;waitlist;0;2;0;0;1;10;12;8;13;11;4;61;0;5.3;5.55;13
604;avoid;5;0;3;6;7;5;4;6;8;11;6;61;0;2.81;5.55;11
605;healthy;4;7;4;1;5;3;16;5;6;6;4;61;1;3.83;5.55;16
606;economic;4;0;19;2;9;2;8;3;5;6;3;61;0;5.2;5.55;19
607;communication;7;2;4;1;8;5;6;16;6;5;1;61;1;4.18;5.55;16
608;fair;2;4;12;5;5;3;3;7;11;6;2;60;2;3.39;5.45;12
609;emergency;3;0;0;12;13;0;2;11;3;11;5;60;0;5.24;5.45;13
610;arise;5;3;6;6;5;0;6;5;7;9;8;60;0;2.42;5.45;9
611;reflect;4;4;12;1;5;5;9;4;7;5;4;60;1;2.94;5.45;12
612;trust;2;4;2;4;5;3;9;5;12;6;8;60;2;3.11;5.45;12
613;small;3;5;0;5;7;6;11;4;5;10;4;60;0;3.08;5.45;11
614;tool;3;3;6;10;6;5;4;4;9;7;3;60;3;2.42;5.45;10
615;incidence;6;0;0;1;4;6;7;7;6;13;10;60;0;4.06;5.45;13
616;utility;2;0;7;3;4;3;6;2;10;13;9;59;0;4.01;5.36;13
617;government;3;5;7;7;2;3;11;3;9;4;5;59;2;2.84;5.36;11
618;department;4;4;5;7;5;5;0;12;4;6;7;59;0;2.91;5.36;12
619;theme;1;0;0;7;2;4;4;8;11;17;5;59;0;5.18;5.36;17
620;serve;5;2;4;6;2;4;9;4;7;7;9;59;2;2.46;5.36;9
621;controversy;5;1;8;9;5;6;6;2;7;4;6;59;1;2.38;5.36;9
622;target;1;2;3;4;1;1;9;5;21;10;2;59;1;6.05;5.36;21
623;independent;4;2;3;5;8;3;3;4;6;14;7;59;2;3.41;5.36;14
624;disability;0;1;3;0;1;6;4;20;4;2;17;58;0;6.83;5.27;20
625;2013;0;0;0;5;5;12;9;11;8;1;7;58;0;4.52;5.27;12
626;basis;7;4;3;6;9;8;2;5;5;6;3;58;2;2.2;5.27;9
627;innovation;3;1;2;5;1;1;6;12;22;5;0;58;0;6.51;5.27;22
628;difficult;1;4;5;3;5;5;6;9;10;6;4;58;1;2.53;5.27;10
629;payment;19;2;4;3;5;5;13;5;1;1;0;58;0;5.75;5.27;19
630;doctor;5;2;5;8;4;4;5;3;2;11;9;58;2;2.9;5.27;11
631;search;6;0;5;11;3;4;9;6;5;8;1;58;0;3.29;5.27;11
632;ventilation;5;1;2;17;6;3;4;3;11;1;5;58;1;4.8;5.27;17
633;indicate;2;4;4;2;6;6;5;7;8;5;9;58;2;2.24;5.27;9
634;particularly;5;9;2;4;5;7;5;4;6;7;4;58;2;1.9;5.27;9
635;2016;0;0;0;0;0;1;5;10;22;11;8;57;0;7.07;5.18;22
636;progress;2;4;12;4;5;5;4;4;9;3;5;57;2;2.86;5.18;12
637;related;10;3;8;6;8;1;4;5;8;3;1;57;1;3.06;5.18;10
638;dissemination;0;0;0;2;1;9;4;10;7;15;9;57;0;5.12;5.18;15
639;topic;1;2;3;2;7;9;9;9;8;3;4;57;1;3.22;5.18;9
640;hepatic;2;5;13;4;3;0;0;16;13;0;1;57;0;5.95;5.18;16
641;pressure;1;4;2;4;1;15;2;5;13;4;6;57;1;4.67;5.18;15
642;t;8;3;0;16;9;2;6;0;1;2;10;57;0;5.1;5.18;16
643;suitable;1;3;13;9;1;3;7;6;3;8;3;57;1;3.76;5.18;13
644;initial;6;4;4;2;1;4;5;12;6;6;7;57;1;2.89;5.18;12
645;expect;1;1;3;2;4;7;2;9;10;11;7;57;1;3.74;5.18;11
646;2014;0;0;0;0;3;12;16;16;6;3;1;57;0;6.45;5.18;16
647;morally;6;2;1;3;2;2;7;6;11;11;6;57;1;3.54;5.18;11
648;degree;5;2;5;7;3;0;3;5;6;17;4;57;0;4.38;5.18;17
649;2010;2;5;9;6;5;3;6;5;7;6;3;57;2;1.99;5.18;9
650;median;0;3;4;1;3;4;3;0;18;9;12;57;0;5.6;5.18;18
651;obligation;5;4;5;5;5;4;2;6;8;8;4;56;2;1.76;5.09;8
652;appear;4;5;5;5;10;4;4;5;3;8;3;56;3;2.12;5.09;10
653;hope;4;1;1;2;2;2;5;12;12;5;10;56;1;4.28;5.09;12
654;history;1;2;8;3;11;6;4;0;9;7;5;56;0;3.48;5.09;11
655;minor;4;0;2;26;1;0;12;4;3;4;0;56;0;7.73;5.09;26
656;free;6;2;4;2;7;3;7;3;6;10;6;56;2;2.51;5.09;10
657;50;3;3;2;10;4;3;5;4;4;10;8;56;2;2.88;5.09;10
658;identity;5;1;2;2;2;7;2;0;10;23;2;56;0;6.63;5.09;23
659;0.001;4;0;0;3;2;13;23;4;2;1;4;56;0;6.92;5.09;23
660;plan;5;2;0;3;2;7;11;3;9;3;11;56;0;3.83;5.09;11
661;belief;3;1;8;2;10;1;4;1;13;8;5;56;1;4.11;5.09;13
662;decade;4;2;6;6;10;1;6;3;7;7;3;55;1;2.65;5.0;10
663;past;4;1;7;6;7;4;5;2;5;7;7;55;1;2.1;5.0;7
664;7;6;1;10;3;5;3;1;5;11;5;5;55;1;3.19;5.0;11
665;african;0;0;6;0;2;15;3;8;12;7;2;55;0;5.1;5.0;15
666;advanced;1;4;7;0;2;5;4;12;5;10;5;55;0;3.61;5.0;12
667;objection;5;3;1;2;5;9;3;6;14;7;0;55;0;4.0;5.0;14
668;previous;10;1;1;6;7;2;8;2;7;6;5;55;1;3.07;5.0;10
669;ml;4;13;1;4;7;0;0;6;5;3;12;55;0;4.36;5.0;13
670;carry;2;4;2;2;5;5;8;10;5;7;5;55;2;2.57;5.0;10
671;exclude;4;4;1;2;3;6;4;3;9;10;9;55;1;3.07;5.0;10
672;technical;6;3;17;1;3;2;6;5;7;3;2;55;1;4.43;5.0;17
673;2017;0;0;0;0;0;0;0;4;18;7;26;55;0;8.89;5.0;26
674;scarce;4;2;5;4;2;4;7;6;9;7;5;55;2;2.14;5.0;9
675;little;4;2;4;4;4;4;4;4;8;10;7;55;2;2.32;5.0;10
